"","name","price","rating","votes_cnt","subzone","lat","lng","kuchnia1","n","lng_utm","lat_utm"
"161","Restauracja monta bistro bar, Powiœle",80,NA,0,"Powiœle",52.22615,21.045,"Miêdzynarodowa",1,503073.682901199,5786192.69874153
"162","Restauracja retrospekcja, Powiœle",40,3,5,"Powiœle",52.24483,21.01498,"Kawiarnia",2,501022.765473141,5788269.57660385
"163","Restauracja minar kebab, Powiœle",40,NA,0,"Powiœle",52.23237,21.03722,"Kebab",1,502541.9220458,5786884.23048481
"164","Restauracja cukiernia piast, Powiœle",40,NA,0,"Powiœle",52.234087,21.034238,"Desery",2,502338.177578337,5787075.10731075
"165","Restauracja ma³pi biznes, Powiœle",40,NA,0,"Powiœle",52.21683,20.96314,"Kawiarnia",3,497481.785056778,5785155.74875062
"166","Restauracja syty garnek, Powiœle",60,NA,0,"Powiœle",52.23413,21.0345,"Gruziñska",1,502356.06777521,5787079.89856845
"167","Restauracja pub pod mosteczkiem, Powiœle",40,3.2,4,"Powiœle",52.23319,21.03966,"Polska",2,502708.51076208,5786975.52521205
"168","Restauracja ekspres powiœle, Powiœle",30,3.1,4,"Powiœle",52.22283,21.03666,"Kawiarnia",1,502504.213781143,5785823.10389395
"169","Restauracja zdrowo nadziane, Powiœle",60,NA,0,"Powiœle",52.2426,21.02404,"Polska",2,501641.422859075,5788021.70588435
"170","Restauracja sok bar, Powiœle",40,NA,0,"Powiœle",52.23759,21.02614,"Kawiarnia",2,501785.009373724,5787464.50625772
"171","Restauracja c cafe, Powiœle",40,NA,0,"Powiœle",52.2388,21.02518,"Kawiarnia",2,501719.407565934,5787599.0681571
"172","Restauracja via solec, Powiœle",40,NA,0,"Powiœle",52.23413,21.0345,"Kawiarnia",2,502356.06777521,5787079.89856845
"173","Restauracja m¹ka i woda, Œródmieœcie Pó³nocne",115,4.3,693,"Œródmieœcie pó³nocne",52.232419,21.016844,"W³oska",2,501150.351649469,5786889.16162564
"174","Restauracja shipudei berek, Œródmieœcie Pó³nocne",100,4.6,640,"Œródmieœcie pó³nocne",52.236386,21.010688,"Izraelska",1,500729.865973917,5787330.32044894
"175","Restauracja aioli, Œródmieœcie Pó³nocne",110,4.3,862,"Œródmieœcie pó³nocne",52.236013,21.0112,"Pizza",3,500764.836024498,5787288.83793537
"176","Restauracja manekin, Œródmieœcie Pó³nocne",50,4,501,"Œródmieœcie pó³nocne",52.237778,21.007508,"Europejska",1,500512.69295558,5787485.1216525
"177","Restauracja barn burger, Œródmieœcie Pó³nocne",70,4.4,690,"Œródmieœcie pó³nocne",52.232768,21.011773,"Amerykañska",2,500804.024209673,5786927.91157095
